"";"participant";"City";"dem_gender";"dem_age";"dem_postcode";"dem_education";"dem_marital";"dem_transport_car";"dem_transport_public";"dem_transport_bicycle";"dem_transport_walk";"profile_cycling_1";"profile_cycling_2";"profile_cycling_3";"profile_cycling_4";"profile_cycling_5";"profile_cycling_6";"profile_cycling_7";"profile_cycling_8";"profile_cycling_9";"profile_cycling_10";"profile_cycling_11";"profile_cycling_12";"profile_cycling_13";"profile_cycling_14";"profile_cycling_15";"gaming_mobile_time";"gaming_money_apps";"gaming_apps_basic";"gaming_apps_messaging";"gaming_apps_lifestyle";"gaming_apps_games";"gaming_apps_productivity";"gaming_apps_news";"gaming_play_time";"gaming_money_games";"gaming_games_simulation";"gaming_games_puzzle";"gaming_games_action";"gaming_games_shooter";"gaming_games_combat";"gaming_games_firstperson";"gaming_games_sports";"gaming_games_role";"gaming_games_educational";"gaming_games_none";"gaming_games_other";"gaming_app_cycling";"gaming_app_cycling_googlefit";"gaming_app_cycling_endomondo";"gaming_app_cycling_bikecitizens";"gaming_app_cycling_fitbit";"gaming_app_cycling_strava";"gaming_app_cycling_runtastic";"gaming_app_cycling_human";"gaming_app_cycling_wikiloc";"gaming_app_cycling_none";"gaming_app_cycling_other";"gaming_app_social_foursquare";"gaming_app_social_tripadvisor";"gaming_app_social_findfriends";"gaming_app_social_tinder";"gaming_app_social_swarm";"gaming_app_social_snapchat";"gaming_app_social_waze";"gaming_app_social_none";"gaming_app_social_other";"gaming_wearable_fitnessband";"gaming_wearable_vr";"gaming_wearable_glasses";"gaming_wearable_watch";"gaming_wearable_headphone";"gaming_wearable_none";"gaming_wearable_other";"engagement_A1";"engagement_A2";"engagement_A3";"engagement_B1";"engagement_B2";"engagement_B3";"engagement_cycling_2w";"engagement_cycling_future";"engagement_app_2w";"engagement_app_future";"engagement_any_app_2w";"engagement_any_app_future";"satisfaction_cycling";"competition_1";"competition_2";"competition_3";"collaboration_1";"collaboration_2";"collaboration_3";"satisfaction_app_1";"satisfaction_app_2";"satisfaction_1";"satisfaction_2";"comments";"feedback_1";"feedback_2";"feedback_3";"feedback_4";"feedback_5";"feedback_6";"feedback_7";"feedback_8";"feedback_9";"group";"questionnaire1";"application_install";"questionnaire_2";"estimuli";"device";"city"
"1";1;"Münster";1;35;"48138";4;4;1;1;1;1;3;1;-2;2;3;3;3;NA;3;-3;1;3;-3;1;-3;4;2;1;1;NA;NA;1;NA;1;1;NA;NA;1;NA;NA;NA;NA;1;NA;NA;"Pokemon Go";"Y";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Map";NA;1;NA;NA;NA;NA;NA;NA;"Whatsapp, FB, Mail";NA;NA;NA;1;NA;NA;"";2;-2;3;2;-2;0;2;3;1;1;1;1;2;NA;NA;NA;2;2;2;2;3;3;2;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Collaboration";"2017-09-05T11:45:00.000Z";"2017-09-05T12:20:00.000Z";"2017-09-22T14:00:00.000Z";"N";"1adf6bdbbb6f317b";"Münster"
"2";2;"Münster";1;37;"48161";4;4;NA;NA;1;NA;2;3;0;1;1;2;3;0;-2;-2;0;2;-2;-2;-2;3;1;1;1;NA;1;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Strategy";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";2;1;-2;3;1;-2;3;3;2;2;2;2;3;-1;-1;0;NA;NA;NA;-1;2;2;1;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Competition";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"14571aeb92ef00fd";"Münster"
"3";3;"Münster";1;33;"48147";4;3;1;NA;1;NA;2;1;0;2;3;2;1;-2;2;-3;1;3;-1;0;1;3;1;1;1;1;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"Y";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Andible";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";3;0;1;3;-2;0;3;3;-3;-2;-1;2;3;NA;NA;NA;2;-1;-1;2;0;0;0;"I simply forgot to turn on the app. For a limited period of time I would have been OK wll being tracked at the tie for Automatic biking";1;1;1;NA;NA;NA;NA;NA;NA;"Collaboration";"2017-09-08T10:49:00.000Z";"2017-09-08T10:55:00.000Z";"2017-10-03T14:45:00:00.000Z";"N";"3c486c2ade399b97";"Münster"
"4";4;"Münster";1;28;"48163";4;2;NA;NA;1;NA;3;3;-1;3;3;3;3;1;3;-2;0;NA;-3;-1;2;3;1;1;1;1;NA;1;1;1;1;NA;1;NA;NA;NA;NA;1;NA;NA;NA;"";"Y";NA;NA;NA;NA;1;NA;NA;NA;NA;"Google Maps GPS";NA;1;NA;NA;NA;NA;NA;NA;"Facebook, Whatsapp";NA;NA;NA;NA;NA;1;"";3;-2;1;3;-2;0;3;3;0;-1;-2;-2;3;2;3;1;NA;NA;NA;-1;0;2;0;"The app did not record trips many times, I remembered 15 trips done; however, the app just recorded 5. The button for stopping the app is confusing";NA;NA;NA;1;1;NA;NA;NA;NA;"Competition";"2017-09-08T14:17:00.000Z";"2017-09-08T17:14:20.000Z";"2017-09-21T17:15:25.000Z";"Y";"b9508c016f700eea";"Münster"
"5";5;"Münster";2;33;"48161";4;4;NA;NA;1;NA;0;1;1;0;-1;2;3;-1;3;-2;1;3;-2;-1;0;3;2;1;1;1;1;1;1;1;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;"";"Y";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Spotify, Podcast";NA;NA;NA;NA;NA;NA;NA;1;"";1;NA;NA;NA;NA;NA;"Bluethooth Headphones";2;0;1;0;1;0;3;3;0;-2;-2;-2;-1;NA;NA;NA;1;-1;-2;-2;-1;0;-1;"The app often didn't work correctly and especially worldn't count correctly. I found it hard to choose tags for each journey. It would be good if you could edit your former journeys (I sometimes started new ones by mistake and couldn't add tags)";NA;NA;NA;1;NA;1;1;NA;NA;"Collaboration";"2017-09-08T16:00:00.000Z";"2017-09-08T16:10:00.000Z";"2017-09-26T13:00:00.000Z";"Y";"e2ff1ed10162056f";"Münster"
"6";6;"Münster";2;38;"48161";4;4;NA;NA;1;1;2;1;3;2;3;3;3;-1;-2;-1;-1;3;0;-2;-1;4;1;1;1;NA;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"Skype, Whatsapp";NA;NA;NA;NA;NA;1;"";1;-3;0;1;-3;-3;2;1;-2;0;0;0;1;-2;0;0;NA;NA;NA;0;3;2;1;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Competition";"2017-09-09T19:00:00.000Z";"2017-09-09T19:05:00.000Z";"2017-09-22T19:00:00.000Z";"Y";"677751866a44e3e4";"Münster"
"7";7;"Münster";1;23;"48163";3;2;NA;NA;1;NA;2;2;3;1;3;3;0;-2;3;-2;-1;2;-1;3;-1;4;1;1;1;1;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";2;-2;0;3;0;1;3;3;0;-2;0;0;2;1;-2;-2;NA;NA;NA;-2;-1;2;-2;"Eventhough I did some trips, it only showed 3 trips at the end of the experiment. If the app would have worked correctly, it would have been more enjoyable to use the app.";NA;NA;NA;1;NA;NA;NA;NA;NA;"Competition";"2017-09-14T11:15:00.000Z";"2017-09-14T11:20:00.000Z";"2017-09-26T12:00:00.000Z";"Y";"fe0df20f83b53497";"Münster"
"8";8;"Münster";1;31;"48153";4;1;NA;NA;1;1;3;3;2;1;3;3;2;-1;0;0;2;1;-1;0;-2;2;1;1;1;NA;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;"Whatsapp";NA;NA;NA;NA;NA;1;"";3;-2;-2;3;0;-1;3;3;-2;-3;-2;0;3;NA;NA;NA;1;-1;-1;2;2;1;0;"I would forget to use the app sometimes, I would close the app sometimes after the trip finished";1;NA;NA;NA;NA;NA;NA;NA;NA;"Collaboration";"2017-09-14T11:30:00.000Z";"2017-09-14T11:35:00.000Z";"2017-09-21T12:00:00.000Z";"Y";"8449b1811700bd63";"Münster"
"9";9;"Münster";1;32;"48147";4;1;NA;NA;1;NA;2;1;1;1;0;3;3;-1;0;-2;2;3;-2;-2;-3;2;2;1;1;NA;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;1;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;1;"";3;-2;0;3;-2;-1;3;3;-2;-2;-2;0;1;0;-1;-1;NA;NA;NA;1;3;1;0;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Competition";"2017-09-14T11:40:00.000Z";"2017-09-14T11:48:00.000Z";"2017-09-21T12:00:00.000Z";"Y";"b79e8050cbbd7aef";"Münster"
"10";10;"Münster";2;34;"48161";4;2;NA;NA;1;NA;3;3;1;3;0;3;3;-3;3;-3;0;3;-3;-3;-3;4;1;NA;1;NA;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;1;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;1;"";3;0;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"none";"2017-09-14T14:19:00.000Z";"2017-09-14T14:22:00.000Z";"";"N";"e38875a892ad09ae";"Münster"
"11";11;"Münster";1;28;"48167";4;3;NA;1;NA;NA;2;2;0;1;2;2;2;2;2;-1;0;1;1;0;0;3;1;1;1;NA;1;1;1;2;1;1;NA;1;NA;NA;NA;NA;NA;1;NA;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;1;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;1;"";0;1;1;1;1;0;2;2;1;0;0;0;2;0;1;-1;NA;NA;NA;-1;1;1;0;"The counter for the trips (""Ausfluge"") did not change (remained zero), even after completing various trops. Therefore, I was not sure, if the app was working properly / In general, a very cool idea that will make cycling more enjoyable";NA;NA;NA;1;NA;NA;NA;1;NA;"Competition";"2017-09-14T15:40:00.000Z";"2017-09-14T15:47:00.000Z";"2017-09-21T12:00:00.000Z";"Y";"2c79f48071c39536";"Münster"
"12";12;"Münster";2;26;"48149";3;1;1;NA;1;NA;2;3;3;2;3;3;3;-1;3;-2;3;3;0;1;0;5;1;1;1;1;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"Y";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Spotify";NA;NA;NA;NA;NA;NA;NA;NA;"Facebook";NA;NA;NA;NA;NA;1;"";3;-3;-1;3;-1;-3;3;3;-1;0;-1;0;3;NA;NA;NA;3;3;0;1;2;1;2;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Collaboration";"2017-09-14T16:50:00.000Z";"2017-09-14T17:00:00.000Z";"2017-09-22T10:10:00.000Z";"Y";"158fada61da39e8d";"Münster"
"13";13;"Münster";1;32;"48155";4;1;NA;1;1;NA;3;1;-1;1;0;2;1;-1;1;-2;1;1;-3;0;-1;4;1;1;1;1;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"Y";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Google Maps";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";2;-3;-1;2;-2;-1;3;3;-2;-2;-1;0;3;1;-2;-2;NA;NA;NA;2;3;2;2;"A reminder to use the app would be good, It starts alternativelly when you ride your bike";1;1;NA;NA;NA;NA;NA;NA;NA;"Competition";"2017-09-15T10:15:00.000Z";"2017-09-15T10:30:00.000Z";"2017-09-21T11:55:00.000Z";"Y";"b1ac5766b362c9b0";"Münster"
"14";14;"Münster";1;26;"48149";4;2;NA;1;1;1;-1;-2;2;0;-3;-3;-3;-2;-3;-1;-2;-3;-2;-3;0;4;1;1;1;NA;1;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;"Pokemongo";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;"Facebook, Twitter";1;NA;NA;NA;NA;NA;"";2;2;-2;2;2;-1;3;2;1;1;-1;0;1;NA;NA;NA;2;-1;-3;1;-1;0;1;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Collaboration";"2017-09-15T13:30:00.000Z";"2017-09-15T13:48:00.000Z";"2017-09-22T15:00:00.000Z";"Y";"";"Münster"
"15";15;"Münster";2;29;"48145";4;4;NA;NA;1;NA;3;3;1;2;1;3;1;-3;2;-1;1;2;-3;-3;-3;4;1;1;1;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";3;-2;-2;3;-2;-3;3;3;0;0;-3;-3;3;NA;NA;NA;2;-3;-3;0;2;2;2;"I didn't explore the app further | the app should have a reminder for its use. I forgot frequently to use it";1;NA;NA;NA;NA;NA;NA;NA;NA;"Collaboration";"2017-09-15T13:35:00.000Z";"2017-09-15T13:53:00.000Z";"2017-09-22T15:00:00.000Z";"Y";"e9236012d1f3b712";"Münster"
"16";16;"Münster";2;38;"48268";2;1;1;NA;1;1;2;0;0;2;1;2;1;-1;1;-2;-1;1;0;-2;-2;1;1;1;1;1;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";2;-3;0;2;-2;1;3;3;1;1;0;1;2;-1;-1;-1;NA;NA;NA;2;2;0;1;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Competition";"2017-09-15T14:00:00.000Z";"2017-09-15T14:10:00.000Z";"2017-09-21T12:20:00.000Z";"Y";"580e8671042d7e43";"Münster"
"17";17;"Münster";2;23;"48149";4;2;NA;NA;1;1;3;3;0;3;0;0;0;-1;3;-3;0;0;-3;-3;-3;4;1;1;1;1;NA;1;NA;1;1;NA;1;NA;NA;NA;NA;NA;NA;1;NA;"";"Y";NA;NA;NA;NA;1;NA;NA;NA;NA;"Samsung Health";NA;1;NA;NA;NA;1;NA;NA;"";NA;NA;NA;NA;NA;1;"";3;-3;1;3;0;2;3;3;1;2;2;2;3;NA;NA;NA;0;1;0;-1;2;3;3;"I never used the leaderboard: Maybe if it includes people from my curcle of friends, I'd be intereste to compete against them";NA;NA;NA;NA;NA;NA;1;NA;NA;"Collaboration";"2017-09-15T14:20:00.000Z";"2017-09-15T14:23:00.000Z";"2017-09-21T16:23:00.000Z";"Y";"f9a799097f8dd185";"Münster"
"18";18;"Münster";2;36;"48151";3;4;NA;NA;1;NA;3;-1;0;3;3;3;3;0;3;-3;-2;3;-3;-2;-3;2;1;1;1;NA;NA;NA;1;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";3;-3;-1;3;-3;-3;3;3;-3;-3;-3;-3;3;NA;NA;NA;0;2;0;0;3;3;2;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Collaboration";"2017-09-19T13:10:00.000Z";"2017-09-19T13:15:00.000Z";"2017-09-26T13:00:00.000Z";"Y";"6a5ed68cb3581305";"Münster"
"19";19;"Münster";1;38;"48145";3;1;NA;NA;1;NA;3;3;1;2;3;3;3;3;-1;-2;1;-1;-2;-2;-2;4;2;1;1;1;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";1;NA;NA;1;NA;NA;"";3;-1;2;3;-3;-3;3;3;-3;-3;-3;-3;3;-3;-1;-3;NA;NA;NA;3;3;3;0;"I use the bike everyday, Difficult to always use the app | a fitness app gives you more accurate info";NA;NA;NA;NA;NA;NA;NA;NA;1;"Competition";"2017-09-19T13:10:00.000Z";"2017-09-19T13:15:00.000Z";"2017-09-26T13:00:00.000Z";"Y";"110e7a4340f68819";"Münster"
"20";20;"Münster";2;31;"48143";4;2;NA;NA;1;NA;2;2;-1;3;2;2;3;-3;0;-3;1;0;-3;-3;-2;2;1;1;1;NA;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";3;-3;-2;3;-3;-2;3;3;-2;-2;-2;-3;2;-2;-3;-3;NA;NA;NA;0;2;2;0;"I found it really hard to remember to taken on the app when going cycling. Perhaps you could implement the possibility to turn on a reminder";1;NA;NA;NA;NA;NA;1;NA;NA;"Competition";"2017-09-19T13:50:00.000Z";"2017-09-19T13:55:00.000Z";"2017-09-26T12:00:00.000Z";"Y";"9b6fb2f8e4e18c0b";"Münster"
"21";21;"Castelló";2;26;"12004";3;2;NA;NA;1;1;3;3;0;3;3;3;3;3;3;-2;2;3;-2;0;2;2;1;NA;1;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";3;-3;-3;3;-3;-3;3;3;2;-3;-3;-3;3;-3;1;-3;NA;NA;NA;1;3;3;3;"M'ha agradat participar a l'experiment, però he tingut alguns problemes amb l'ús de l'aplicació. El meu suggeriment és q per a poder començar a contar el recorregut en bici, s'hagi d'apretar / prénier un botó. Així no s'encendria directament.";NA;NA;NA;NA;1;NA;1;1;NA;"Competition";"2017-10-17T10:45:00.000Z";"2017-10-17T11:15:00.000Z";"2017-10-25T18:10:00.000Z";"Y";"";"Castelló"
"22";22;"Castelló";1;32;"12003";3;1;NA;NA;1;1;3;3;1;2;1;3;3;2;1;-1;2;3;2;1;2;3;1;1;1;1;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"Y";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Polar Flow";NA;NA;NA;1;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;1;"";3;3;3;2;2;2;2;3;3;2;2;2;3;0;1;1;NA;NA;NA;2;1;2;2;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Competition";"2017-10-18T11:00:00.000Z";"2017-10-18T11:04:00.000Z";"2017-10-26T10:45:00.000Z";"Y";"756256df825745c";"Castelló"
"23";23;"Castelló";2;31;"12001";4;1;NA;NA;1;1;3;3;2;3;3;3;3;-1;3;1;2;3;2;0;1;3;1;NA;1;NA;1;NA;1;1;1;NA;1;NA;1;NA;NA;NA;NA;NA;NA;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";0;-2;-3;1;-1;-3;2;3;-1;-1;-2;-2;3;NA;NA;NA;2;2;-2;0;0;2;-1;"Se podría mejorar el detalle de la velocidad y la distancia, porque a veces falla y no sale nada";NA;NA;NA;1;NA;NA;1;NA;NA;"Collaboration";"2017-10-18T11:00:00.000Z";"2017-10-18T11:12:00.000Z";"2017-10-26T10:45:00.000Z";"Y";"14a96735022e788e";"Castelló"
"24";24;"Castelló";2;32;"12004";3;1;1;NA;1;1;3;3;3;3;3;3;3;-2;-3;-3;-2;3;-3;-3;-1;2;1;1;1;NA;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";3;-3;-3;3;-1;0;3;3;2;2;2;2;3;0;2;0;NA;NA;NA;2;3;3;3;"Poder revisar mis viajes en el momento que sea, cuenta viaje que no he realizado";NA;NA;NA;1;1;NA;NA;NA;NA;"Competition";"2017-10-18T19:13:00.000Z";"2017-10-18T19:20:00.000Z";"2017-10-26T18:30:00.000Z";"Y";"e9d8d40f54eb35e6";"Castelló"
"25";25;"Castelló";1;42;"12004";3;4;1;NA;1;NA;3;3;0;3;3;3;3;-1;3;-3;1;3;-3;3;-3;2;1;1;1;1;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"Y";1;NA;NA;NA;1;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;"Twitter";NA;NA;NA;NA;NA;1;"";3;-3;3;3;-3;3;3;3;2;2;3;3;3;NA;NA;NA;3;3;0;-1;3;3;3;"Modificar la aplicación para arrancar manualmente";NA;NA;NA;NA;1;NA;1;NA;NA;"Collaboration";"2017-10-19T09:00:00.000Z";"2017-10-19T09:05:00.000Z";"2017-10-26T08:45:00.000Z";"Y";"11adcf0f63a00175";"Castelló"
"26";26;"Castelló";1;41;"12130";3;4;NA;NA;1;NA;3;3;3;3;3;3;3;0;3;-2;0;3;-1;1;-2;4;2;1;1;1;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"Y";NA;NA;NA;NA;1;NA;NA;NA;NA;"";NA;1;NA;NA;NA;NA;NA;NA;"Whatsapp";NA;NA;NA;NA;NA;1;"";3;-3;0;3;-3;0;3;3;0;0;2;3;3;0;0;0;NA;NA;NA;0;0;1;0;"Debería mejorar el feedback con el usuario y elimiar el inicio automático de la grabación de ruta";NA;NA;NA;1;1;NA;NA;NA;NA;"Competition";"2017-10-19T09:17:00.000Z";"2017-10-19T09:25:00.000Z";"2017-10-27T08:50:00.000Z";"Y";"eebc72933a714498";"Castelló"
"27";27;"Castelló";1;45;"12003";3;4;1;NA;1;1;3;1;0;0;3;3;3;-2;-3;-2;3;3;-2;2;2;3;1;NA;1;NA;NA;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";3;-3;-2;3;-3;-3;3;3;3;3;3;3;3;-3;-3;-3;NA;NA;NA;1;1;3;3;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Competition";"2017-10-19T09:35:00.000Z";"2017-10-19T09:40:00.000Z";"2017-10-26T09:05:00.000Z";"Y";"6fe948e0c51ae2e3";"Castelló"
